,datetime,leader,follower
367,2018-12-20 05:19:00,[],['CVX']
368,2016-09-14 05:00:02,[],[]
369,2017-03-30 09:35:00,['CFG'],[]
370,2020-04-01 09:28:51,[],[]
371,2018-06-20 08:40:39,[],[]
372,2017-01-23 03:30:00,['AA'],[]
373,2019-07-01 06:49:00,['FIS'],['GPN']
374,2020-08-10 11:50:00,['DUK'],"['FE', 'XEL', 'DTE']"
375,2017-01-30 10:07:58,['ILMN'],[]
376,2019-08-09 07:04:00,[],[]
377,2018-01-31 03:43:33,[],[]
378,2019-02-21 01:00:00,[],"['WYNN', 'MGM', 'MSCI', 'LVS']"
379,2020-09-05 08:45:00,[],"['LMT', 'LLL', 'LHX']"
380,2020-04-17 17:39:00,[],[]
381,2018-10-31 09:01:00,[],[]
382,2018-05-23 11:44:15,[],"['GE', 'TWTR', 'TGT', 'MCD', 'CHK', 'KSS']"
383,2019-03-07 02:13:00,[],[]
384,2020-03-30 09:36:55,[],"['BRKB', 'C', 'LUV', 'TWTR', 'AAL', 'UAL', 'DAL']"
385,2018-04-26 10:03:42,['QCOM'],"['TWTR', 'INTC', 'MSFT', 'AVGO', 'AAPL']"
386,2020-05-27 12:14:00,[],"['HCA', 'THC', 'AAPL']"
387,2017-05-08 10:01:00,[],[]
388,2020-02-25 11:56:47,[],[]
389,2019-08-20 21:00:00,[],['TWTR']
390,2020-03-03 08:01:00,[],[]
391,2019-02-18 21:09:00,[],[]
392,2016-08-30 04:55:00,[],[]
393,2019-12-17 23:58:09,['AXP'],"['MA', 'V']"
394,2016-07-28 10:12:40,['XOM'],[]
395,2020-02-13 20:06:02,[],['LH']
396,2020-08-20 11:40:32,['SLG'],[]
397,2019-07-03 13:53:00,[],[]
398,2017-02-17 03:29:00,[],[]
399,2019-01-07 05:17:27,['MAT'],[]
400,2018-11-14 00:25:00,[],['MS']
401,2018-07-13 04:34:00,"['PFE', 'BA']","['JPM', 'INTC', 'MSFT', 'CAT', 'CVX', 'AAPL']"
402,2020-12-11 04:01:18,[],['BAC']
403,2018-02-09 06:26:00,['NVDA'],['AAPL']
404,2017-08-21 00:26:00,['GE'],[]
405,2016-04-06 08:20:00,[],[]
406,2018-07-30 11:23:00,[],"['RL', 'KSS', 'JWN']"
407,2016-12-19 10:54:28,[],['BAC']
408,2020-02-11 21:33:32,[],[]
409,2020-11-19 10:51:00,['ADSK'],[]
410,2020-11-03 17:30:26,[],"['GS', 'BAC', 'WFC']"
411,2017-10-16 05:00:04,[],"['MHK', 'LEG']"
412,2020-04-29 01:54:05,[],[]
413,2018-04-23 07:16:00,[],[]
414,2019-03-25 05:19:00,[],[]
415,2019-05-01 07:34:00,[],[]
416,2017-02-28 12:32:00,[],[]
417,2016-03-30 06:59:16,[],[]
418,2020-07-13 19:50:12,[],[]
419,2019-11-26 10:45:09,[],[]
420,2018-05-10 06:29:00,[],[]
421,2016-04-11 10:20:29,[],[]
422,2019-11-06 01:12:24,[],[]
423,2017-04-04 09:12:05,[],[]
424,2020-01-03 11:00:00,[],[]
425,2017-05-13 03:53:34,['HD'],[]
426,2017-05-24 05:49:00,['VZ'],['CSCO']
427,2016-03-17 20:02:03,[],[]
428,2019-11-21 11:01:58,[],[]
429,2019-06-10 05:30:10,[],[]
430,2020-06-19 09:40:00,[],[]
431,2016-05-05 05:23:53,[],[]
432,2018-06-19 19:42:00,['SBUX'],[]
433,2018-04-11 04:41:00,[],['NFLX']
434,2016-06-14 13:03:00,[],"['NKE', 'TWTR']"
435,2019-04-03 06:04:00,['NFLX'],"['CMCSA', 'AAPL']"
436,2018-09-27 04:57:04,['LLY'],['FB']
437,2020-06-02 11:53:47,"['D', 'BAX']",[]
438,2017-01-30 10:18:50,['CVX'],[]
439,2020-07-21 12:31:34,[],[]
440,2020-09-02 17:45:16,['PG'],['SPLS']
441,2020-06-02 11:34:00,['CE'],[]
442,2020-08-21 07:28:00,[],['AAPL']
443,2016-11-21 08:33:00,[],[]
444,2019-09-16 15:52:04,[],[]
445,2018-11-08 02:30:26,[],[]
446,2018-04-17 06:17:00,['WMT'],['AMZN']
447,2018-09-10 05:50:00,[],[]
448,2020-07-31 07:31:33,[],['C']
449,2019-11-07 10:30:32,[],[]
450,2018-07-05 19:24:19,['KO'],"['AMZN', 'SPLS', 'CPB', 'CL', 'TWTR', 'GIS']"
451,2018-02-16 07:00:00,[],"['HCA', 'BA', 'MU']"
452,2018-01-07 19:00:01,[],"['GOOG', 'IBM', 'AMZN', 'STX', 'IVZ']"
453,2018-07-03 07:13:59,[],[]
454,2019-03-01 07:13:00,[],"['NKE', 'UNH', 'FL', 'WBA', 'CI']"
455,2017-01-24 05:38:02,['CSRA'],"['BRKB', 'JNJ', 'CPRT', 'VFC', 'WYNN', 'GD']"
456,2020-10-02 09:00:00,['GD'],"['LMT', 'NOC', 'RTN']"
457,2018-10-29 09:30:59,[],[]
458,2017-07-11 09:04:00,[],['CNX']
459,2018-05-08 03:00:24,[],[]
460,2017-07-25 04:58:00,[],"['CLX', 'JWN', 'PGR']"
461,2020-05-06 14:53:00,[],"['NEE', 'ABT', 'ABBV', 'AGN', 'JNJ']"
462,2020-03-25 10:10:00,[],"['PKG', 'AAPL', 'ARNC', 'FCX']"
463,2018-04-17 12:41:28,['CSX'],['NFLX']
464,2019-06-27 20:02:00,[],[]
465,2019-07-30 01:17:00,[],[]
466,2016-02-17 00:09:00,['WMT'],"['TGT', 'AMZN', 'TWTR', 'COST']"
467,2019-04-03 19:57:00,[],[]
468,2018-09-27 05:30:13,[],['SPLS']
469,2018-12-31 23:06:25,[],['AVGO']
470,2017-06-14 05:00:03,[],[]
471,2020-11-09 22:00:44,[],[]
472,2018-10-12 03:18:00,[],[]
473,2020-07-24 11:42:00,[],[]
474,2020-04-07 11:59:03,[],[]
475,2019-04-10 04:18:00,['AAL'],[]
476,2017-10-18 10:53:32,[],"['PYPL', 'VAR', 'EBAY', 'ISRG', 'STE']"
477,2019-10-21 11:30:00,['COG'],"['NOV', 'AAPL']"
478,2016-04-29 04:56:05,[],['AMZN']
479,2017-01-10 06:41:25,[],['SPLS']
480,2020-04-17 08:13:00,[],[]
481,2019-01-11 10:10:08,['CB'],[]
482,2019-11-01 10:10:19,[],[]
483,2019-08-12 11:57:02,[],[]
484,2018-01-12 04:29:25,[],[]
485,2020-11-23 14:20:19,[],"['DGX', 'NFLX']"
486,2016-05-28 06:02:00,[],"['BRKB', 'LVS', 'MGM', 'WMT', 'WYNN', 'AAPL']"
487,2020-10-22 17:45:13,[],[]
488,2017-05-30 12:31:00,[],['CMCSA']
489,2016-11-08 06:21:00,[],[]
490,2017-08-11 05:00:03,[],['APH']
491,2018-10-23 13:50:03,['JNPR'],[]
492,2019-10-15 09:30:00,[],[]
493,2019-02-11 04:00:04,[],[]
494,2019-04-15 09:48:33,[],[]
495,2019-06-12 05:00:04,[],"['MMC', 'AON', 'IVZ']"
496,2019-09-27 17:45:09,['EL'],"['EP', 'SPLS']"
497,2019-08-14 11:59:54,[],[]
498,2019-05-02 18:43:17,[],"['WMT', 'BAC', 'GS']"
499,2020-02-26 08:45:00,[],['COF']
