Date,Ticker,Name,Sector
2012-01-01,NI,NiSource Inc,Utilities
2012-01-01,NKE,NIKE Inc,Consumer Discretionary
2012-01-01,NLOK,NortonLifeLock Inc,Information Technology
2012-01-01,NOC,Northrop Grumman Corp,Industrials
2012-01-01,NOV,National Oilwell Varco Inc,Energy
2012-01-01,NRG,NRG Energy Inc,Utilities
2012-01-01,NSC,Norfolk Southern Corp,Industrials
2012-01-01,NTAP,NetApp Inc,Information Technology
2012-01-01,NTRS,Northern Trust Corp,Financials
2012-01-01,NUE,Nucor Corp,Materials
2012-01-01,NVDA,NVIDIA Corp,Information Technology
2012-01-01,NWL,Newell Brands Inc,Consumer Discretionary
2012-01-01,NYX,NYSE Euronext,
2012-01-01,OKE,ONEOK Inc,Energy
2012-01-01,OMC,Omnicom Group Inc,Communication Services
2012-01-01,ORCL,Oracle Corp,Information Technology
2012-01-01,ORLY,O'Reilly Automotive Inc,Consumer Discretionary
2012-01-01,OXY,Occidental Petroleum Corp,Energy
2012-01-01,PAYX,Paychex Inc,Information Technology
2012-01-01,PBCT,People's United Financial Inc,Financials
2012-01-01,PBI,Pitney Bowes Inc,Industrials
2012-01-01,PCAR,PACCAR Inc,Industrials
2012-01-01,PCG,PG&E Corp,Utilities
2012-01-01,PCL,Plum Creek Timber Co Inc,Real Estate
2012-01-01,PCP,Precision Castparts Corp,Industrials
2012-01-01,PDCO,Patterson Cos Inc,Health Care
2012-01-01,PEAK,Healthpeak Properties Inc,Real Estate
2012-01-01,PEG,Public Service Enterprise Group Inc,Utilities
2012-01-01,PEP,PepsiCo Inc,Consumer Staples
2012-01-01,PFE,Pfizer Inc,Health Care
2012-01-01,PFG,Principal Financial Group Inc,Financials
2012-01-01,PG,Procter & Gamble Co/The,Consumer Staples
2012-01-01,PGR,Progressive Corp/The,Financials
2012-01-01,PH,Parker-Hannifin Corp,Industrials
2012-01-01,PHM,PulteGroup Inc,Consumer Discretionary
2012-01-01,PKI,PerkinElmer Inc,Health Care
